id,comments
11,"We loved the location of this studio apartment. It was walking distance to  centre of town, Newbury Street and other tourist activities. It is situated in a beautiful building on a pretty tree lined street and has a stunning outlook onto the Charles River."
12,"Both the owner and the apt manager were VERY responsive. Quick, thorough replies and very proactive. They were welcome to deal with as a business traveler.

I used this apt as an alternative to the crazy hotel room prices downtown...and the horrible bed bug problem Boston hotels are NOT dealing with. The getting of the keys and instructions on using the apt are very well thought out.

The North End, and Hanover St is the heart of it!  It's busy day and night. Do not take this apt if you are seeking peace and tranquility. It's acurately described as a ""lively"" area. You have immediate access to great restaurants.

The apt is cooled by two window units. Thankfully, both were going when I arrived. They did a good job of cooling the rooms. The second floor, which houses the bed and bathroom is as described. If you want soft sheets, I recommend you bring your own. I'm fanatical about having all-cotton bedding which this apt does not have. The towels and bathroom supplies are all clean and as expected. Nothing fancy, but perfectly functional.

The kitchen is small, but complete. I barely used it except for glassware.  I noticed a tumbler had a small crack in it and then stupidly used it. When washing the glasses the next morning, it shattered. I'm not sure its something the cleaning crew would normally catch, but there it was.  I cleaned up the glass and my cut and left a larger than normal tip for the cleaners and note that there was broken glass in the garbage.

Overall, this was a positive experience which I would reuse."
13,"Molly, the house, the neighborhood...all were fantastic! Everything was true to description. "
14,"Casey was super friendly, the place was very cozy and comfy! She did everything in her ability to make my stay enjoyable and it was! Zoey being super fluffy and adorable is a definite plus. "
15,"I had a great time at Christine's.
The place was spacious, well decorated and as noted earlier, perfectly located.

The communication and check in/out instructions were effective.  

I'd absolutely recommend Christine's place and stay again, if she'd have me."
16,"I had an amazing stay at Miriam's place! The studio apt is private, adorable and has everything you need! Great location and great flexible hosts! I'd most certainly stay here again! "
17,"This was the second time that I stayed at Monicas, this time I actually met her in person and she is very friendly. Upon my arrival she offered me a coffee and a piece of an amzingly delicious zucchini cake. Even though her cafe was closed that day.  It was very interesting to talk to her about her cafe and traveling experiences. The location is super close to the airport and everything is as in the description. I love the proximity to the airport and would come back every time I'll go through Boston. "
18,Perfect! My time here was too short! It was a pleasure to meet everyone there. I only wish was that I had not been so busy with work to have gotten a chance to know more about the city in general. The proximity to the T made getting in and out of town very simple. Thank you for being such a great host!
19,"Great location, very close to Park Street station and Boston Common. Clean and exactly as illustrated in the picture. Great views of Boston skyline from the roof deck. Henry and Lisa were super accommodating and messaged me about one week prior to my stay to organise what time I could pick up the keys. Henry met me and my family in the apartment lobby, showed us around and made sure we had everything we needed. Would highly recommend.  "
20,Our stay in Laurie's apt was very comfortable and convenient. This was a last minute reservation and she was very quick to respond to all of our inquiries. The location is very convenient and with a beautiful view of the city. Parking is easy to find and restaurants and nightlife are withing walking distance.  
21,My family and I enjoyed our weekend at this very clean and comfortable apartment.  The unit was stocked with necessary items and the porch was an added benefit that we didn't expect.  The host was very responsive anytime I reached out with a question.  I've stayed in other vacation rentals and this was by far the best experience I've ever had.
22,As pictured. Quite clean. Parking on the side of the house was appreciated! Water pressure in the shower was quite weak.
23,"We stayed at Brian and Lisa's place during the coldest time of the year. That did not hinder us since we received a warm welcome, heated room, warm bed, and many extras. The special care provided by the hosts such as the guidebooks, charliecards for public transport, and provisions such as coffee and tea made our stay extra pleasant."
24,"Very nice appartment in the middle of Little Italy. We had everything we needed, even a bottle of wine and water in the fridge. Very clean.
Peferct for 2 adults and 2  children. We can recommend it."
25,The place was clean and quiet. Exactly as described.
26,everything is good.
27,Very pleasant neighborhood and charming house. The hosts were very nice and quick to respond to texts/emails. It was a great base for us to explore Boston - a quick walk or Hubway bike to the metro station.
28,"Staying at Katy's place was a very nice expercience! She is a lovely person, who respects your privacy and if you want to talk or have any quetions, she is happy to help or just to sit down for a chat. 
The room has everything you need (+a very comfy chair), the bathroom and the kitchen are clean. Another plus were the washing mashine and the dryer that I could use. 
It takes you about 15-20 minutes to Harvard, about 35-40 minutes to Park Street in Boston. Bus and T go all the time, so I never had to wait too long. There are a few nice shops and restaurants close to Katy's house.
"
29,"From arrival to departure it was an absolute pleasure staying at Rachel home!  Not only was Rachel's home beautifully decorated, but it was perfectly situated in the city with access to great restaurants, grocery stores and easy access to the 'T'.  

I would defiantly recommend staying at Rachel's home.   "
30,"It was very comfortable room and neighbourhood is very convenient, I spend great 3days. I couldn't meet Jade, but I appreciate so much.
Hope to stay again when I visit boston !"
31,"Everything was great.  A stunning location, spacious, quiet, clean room with an incredible view overlooking the city.  George even went the extra mile, providing travel literature in-room, along with drinking glasses, and a few other essentials for use during our stay.  The location itself is amazing as well, right in the heart of Boston, within easy walking distance of just about everything you could possibly want to see and do.  George was really helpful and provided several useful tips for our stay as well."
32,"Overall a good experience. This home was in a good location and the city was easy to get to. Everything in the home worked well especially the air conditioning for the hot days. The block was quiet for the most part in a decent area and there was always a parking spot out front for us. I suggest this listing to anyone that plans on spending sometime in Boston. Also Terry was good, he let us be and replied ASAP whenever we had a question."
33,"Liam was very accommodating and a very gracious host.  The accommodations are very simple and are exactly as advertised. The location is great with a few good eateries in the immediate area.  The proximity to the T system is excellent.  The neighborhood is working folks and everyone is in motion all of the time.  Because of the high traffic, I would consider this area to be generally safe.  I parked my car on the street and got a ticket on the fourth night.  $25 (cheaper than a parking garage)   I give this place a thumbs up and a positive representative of the AirBNB network.  Thanks Liam."
34,Juliet is a very caring and energetic host.  She responded to our wishes promptly and went beyond our expectations to make sure that we were comfortable during our stay.  Juliet's home is beautiful as well as immaculate.  It was very convenient for us to go into Boston once we acquainted ourselves with the transit system.  Roslindale is a quiet and cozy community.   We would definitely recommend Juliet's home to others who would wish to rent it.
35,"The room description was accurate in terms of the size and basic facilities. My host Sylvia wasn't present for the stay. Unfortunately, the room itself hadn't been cleaned and I had to hoover it myself upon arrival. The bathroom was especially dirty and not at all pleasant to use. Similarly, the kitchen was very unclean and had quite limited utensils for cooking - other housemates tended to leave dishes unwashed for days at a time. The neighborhood was lively and quite conveniently situated, but the cleanliness of the apartment was a major problem."
36,"You get what you pay for and you don't pay much for this place. It is like a hostel, with several single rooms and shared bathroom. Clean, but not much else. Bed and table are shaky. Good if you're on a tight budget and just need a cheap place to crash for a night. They're strict about check-out times. "
37,"First, to set the stage - I initially wrote Tom at roughly 1am on Monday, inquiring about his property for later that night through Thursday.  He had replied before I woke up at 6am - and was the only one of four people I had reached out to who was flexible enough to accommodate my impromptu work trip.  Their place was exactly as described, in a great neighborhood - and a welcome change to the normality (and expense) of life in hotels.  I will definitely be reaching out Tom first (and hopefully with more notice) for future trips to Boston.  Everything was easy and accommodating.  No complaints.  "
38,It's a decent room with great location. I would recommend it to anyone.
39,"Michelle's apartment was fantastic! There are so many positives about this place: location, size, amenities both in the apartment and nearby. I utterly enjoyed my stay and it proved to be an ideal spot for discovering Boston; the 's very close to public transportation and bike sharing. The room was comfortable, tidy and much more spacious than expected. On top of that, sheets, towels and everything else you need were included. 
I also delighted in chatting and sharing stories with my flat mates and my welcoming host. I loved our baking session!
What more can I say? It was perfect. Definetely recommended!"
40,"Great place. Although no elevator, but don't take heavy luggage with you. Travel light. 
Would stay there next time "
41,"The apartment was nice, the location was great...lots of places to eat, shopping, things to do.  Close to train stop.  Very nice experience.  Will stay again.  Thank you."
42,"Danielle was a great host with a wealth of local knowledge that really made a positive impact on my stay in Boston.  The accommodations were as good as advertised and the short walk to the T station was a huge bonus.  Everything was clean and cozy and Danielle saw to seemingly every detail. Coffee, tea, towels, shampoo, ironing board, restaurant advice, and homemade cookies were all part of the experience.

I will definitely look Danielle up on my next trip to Boston.

"
43,"Small yet well provided with all the necessities plus all sorts of thoughtful extras. Our hosts were friendly and helpful despite their busy schedules. Unsettled weather prevented us using the deck very much, which was a pity as it would have been a great extension to the studio. Altogether a very good stay."
44,Howard was a great host. The apartment us located in a very nice district of Boston. Lot's of restaurants and shops. Definitely would recommend staying here.
45,The apartment was adorable and clean. It had a great view of Fenway park and was in a fantastic location. It was a great place for us to spend the night but would not recommend for someone needing somewhere during the day. We had to leave our things in the apartment when it was not yet cleaned from the guests the night before. 
46,"Great experience.  Our family trip was a disjointed one,but Lyralen and Judy made us feel welcomed and ""rolled with it!"""
47,"Room was clean and nicely prepared when we arrived. Nicole was more than helpful with all my questions about Boston. Quiet and private lockable room. Newly painted kitchen with full access to stove , microwave and refrigerator. Close to bus stop, grocery store and plenty of pubs/ restaurants. Plenty of on street parking also. "
48,"My experience with Margaret was nothing short of fantastic. She was very accommodating and polite. Our flight had been delayed and we got to the house later than expected but it wasn't a problem because we were able to get hold of Margaret straight away.
The house was very clean and our rooms were incredibly laid out. She even made us breakfast in the morning and we had a lovely chat about life in Boston. Not only that but she even drove us to the station the when it was time to leave.
I would definitely stay with Margaret again if I am next in Boston. It's my first experience with Airbnb and I've got to say that my stay surpassed all expectations. It was absolutely fantastic"
49,"Two of us stayed at Joseph's studio for five nights in April 2015. It is well located, the Boston Public Garden is across the street and Arlington metro station is a 450m walk along the Arlington Street. Joseph is easily reachable and replies quickly.  We picked up the keys at the Taj Hotel concierge, 300m from the apartment building. Some few furnishings in the studio are different as in the pictures, but overall is the same. Nothing that will impact your stay. Internet Wi-Fi worked well. The coin laundry in the ground floor was very convenient. I would stay here again."
50,"It is exactly as advertised.  He provides a bedroom (as pictured) in his 2 bedroom apartment, which is the second floor of a 3 floor walkup, about 10 minute walk from the subway and 20 minute subway from downtown.  He is super friendly and happy to give advice about how to enjoy the city.

The apartment has a full kitchen (fridge, toaster, and oven/stove) and washer and dryer (though we didn't use any of this).

There are also 2 balconies (again we didn't use these, but they looked nice).

The place has wifi and free street parking (note you have to be careful which side of the street you park on Thursday because of street cleaning rules).

If you are looking for luxury accomodations, this isn't it.  However if you are (like my fiance and I were), looking for very reasonably priced, simple accomodations with free parking and wifi, and easy accesibility to the subway, this is it.  As a bonus, Jesse was very easy to communicate with and always responded to messaged within an hour or so."
51," I was a little apprehensive for my first airbnb  experience.... Staying in a private home of people I'd never met was worrisome.  Well I could not have had a more perfect first experience!  From initial text correspondence onward, Jez and Ken were exemplary hosts. Their home is beautiful. Very well appointed. They think of everything! (A welcome cookie!!). Within minutes of my arrival I felt like I was a guest in the home of friends I had known for years.  They accommodated my late arrival.... Picked me up at the airport and dropped me off at the T.   I visit Boston annually and I will always check availability here before I stay anywhere else. "
52,"Excellent location. Close to everything. Very clean, enjoyed the place very much"
53,"Bernardo was excellent - he was quick to respond to all of my questions when they arose. The apartment was charming and exactly as expected. The neighborhood is friendly, conveniently located and includes a Starbucks :) Bernardo had prepared a stack of literature on things to do in Boston, wifi information, take out menus and house rules. I would definitely stay with Bernardo again and recommend his place to boston travelers."
54,"The flat is perfect. It was very comfortable and clean, the subway is just  10 min walk. Soledad was not here but very flexible , she allowed us to arrive earlier to have the time to visit Boston, Phoeboe was here to welcome us, she was very nice. 
It was a first great Air Bnb experience."
55,"Gerald was a great host, very easy to chat too, very accomodating, full of helpful information. Sky his puppy is hilarious, and kept us entertained. Position of duplex great, easy walk to everything. Nice neighbourhood. All our expectations met. It was a pleasure to have met Gerald on our adventures. "
56,"Comfortable and spacious room in a quiet neighborhood, just a 10 minute walk from the subway station (Orange line). Michelle is the perfect host: welcoming, helpful, nice..and she's also an excellent cook!  There's a fast wi-fi connection and the kitchen is well-equipped! I spent 1 month here..and I felt home!
Renting a bike can be a great way to go to work as well as to explore the city.
"
57,"My mom and her best friend stayed in Sean's apartment for a few days, and they enjoyed the stay. They loved the location and they knew it would be a small space so that was not a problem for them, besides it had everything they needed. They said the unit could use some minor repairs but nothing too serious. They were very happy with Sean as a host, they said they didn't have a single problem during the stay even though their English is limited!"
58,"Communication from Jeff was prompt and clear. Loved renting from him. He got us a parking garage for an extra fee, which was much appreciated. Parking in Boston is an issue, and we did have difficulty when we first arrived even finding a spot to drop off our luggage in front of the building - we finally saw you could come through the alley next to the building so made a quick stop there.  The location of the apartment is perfect for sightseeing.  The apartment has central air which worked well and was appreciated, because many of the other places we were looking at did not.  We felt safe coming and going at night, and never even used the Metro even though it was very close by. We walked to the Aquarium, North End, ate at Fanieul Hall and walked the Freedom Trail, went to the movies one night, and never took our car out. There is an upscale grocery store around the corner, as well as a CVS right down the street if you need anything. 

The apartment is extremely clean. It's close quarters for 4 people, the sofabed is in the same room as the kitchen, opening the sofabed fills up much of the room, and the bathroom is off the bedroom.  Jeff is very thoughtful, providing coffee, tea, umbrellas, a hair dryer, and quarters for the washing machine in the building basement. There is a small desk but no dining table - for breakfast we were able to seat our kids at the desk in the alcove, but with so many great restaurants to choose from, we ate out for the rest of the meals, so we only used the fridge, toaster, coffeemaker, dishwasher and microwave.   Would definitely stay here again if we returned to Boston, highly recommend. "
59,"We had a great time staying with Jez and Ken.  The room was clean, well set out and had some extra touches like brochures, toiletries and cookies that made it special. The bed was really comfortable. The house was really cute and the cats were very friendly. The location is really good - a 20 minute walk to then catch the T straight into the middle of Boston. Jez and Ken were very friendly, warm and extremely generous - on our first day Ken gave us a tour of the area and when we left he offered to take us to the bus station.  They know the area really well and have lots of good ideas about places to eat, things to do and how to make the most of your time - they are great to talk to.  We really enjoyed spending time with them in their beautiful home and would recommend their place to anyone wanting to explore Boston."
60,The bed was comfortable and the location was great. The room was also surprisingly very quiet. The room needed a good dusting and the bathroom was not the cleanest but the host had just had eye surgery the day before we arrived as well as car and computer drama so it might not have been her best week. The linens were clean and the breakfast well-presented. 
61,"My husband and I had a great experience staying at Sara and Pam's place when we were visiting Boston for a wedding. Arrival and key pickup were smooth and pleasant. During the weekend we had a chance to chat with both Sara and Pam, who are kind, friendly, and helpful people, and we loved their cat, Derby. The upstairs area where we stayed--bedroom and super roomy bathroom--was clean, comfortable, and stocked not only with basics such as towels and soap, but nice extras like snacks and a Keurig coffee maker. The house itself is quiet and peaceful, and there was definitely a sense of privacy and independence for our entire stay. We had access to the kitchen, though we ate every meal out and primarily just used the kitchen to grab glasses of water, which is of course essential. The only downside to staying in this area of Jamaica Plain was the blaring music out of car windows during certain parts of the weekend, and some other city noises, but this didn't bother us too much. The house isn't too far a walk from the Green St. T stop, so we used this (as well as Hubway bike share) to get into other parts of Boston. A couple cute cafes are on the way to the train, and we enjoyed these, as well as some other restaurants in downtown JP (along Center Street). And one of the nicest things about JP is surely all the natural spaces, like Jamaica Pond and the Emerald Necklace parks. We didn't get a chance to see the Arnold Arboretum, so we will surely have to come back sometime. Overall, I would say Sara and Pam's place is an amazing bargain, a great spot to anchor your trip to Boston, and not at all too far from the city center if you're willing to navigate public transit."
62,Nice little apartment in a great part of the city.
63,"The accommodation in Hermina's house was very comfortable and all household amenities were accessible.  I did not meet Hermina in person but we were often in communication via e-mail and phone, and she made sure that I had everything I needed.

The location is very good for travelling in and out of downtown Boston (it only takes around 15-20 minutes), and there are lots of local shops in the neighbourhood.

All in all I would recommend staying here if you want somewhere reasonable to sleep while you explore the historic city of Boston."
64,"The place was very nice, handy for shopping, a ten minute walk to the Orange line and we encountered no difficulties."
65,"Sean was a great host! Communicative, nice, accommodating, friendly. 

The room was exactly as described. It's a cute little studio in a nice location in Boston a short walk away from the Brigham & Women's hospital, a perfect place to stay if you're interviewing at the hospital/medical school. The room was warm and clean, the bedding freshly laundered, the bed was very comfortable. I would definitely stay there again if I'm ever in Boston and would recommend Sean's place to all my friends. "
66,Great experience!  Jane was really nice and the location was conveniently close to Boston College.  I would stay there again.
67,Cute place! Awesome communication! Really helpful! Victoria and her husband are really sweet and helpful. The Olav was spotless and directions and interactions were all great! Thank you so much for welcoming us!!
68,"The Beacon Hill location is just great! An easy walk to a couple of subway lines, lovely historical ambience, and good restaurants a block away on Charles. I was delighted to find that I was near the esplanade along the river and could dangle my feet in the water after a long day of museum going. I found the apartment to be pretty warm with only a fan, but otherwise I was quite comfy."
69,"The location is awesome!! Its just a couple of blocks from South Station, close to great restaurants, and bars and the VIEW!! couldn't have picked a better location. The Boston Tea Party Museum is close too.  "
70,"Alexandra's apartment is centrally located and very close to the Green Line which makes it convenient. Her apartment is newly renovated. Alexandra was easy to communicate via airbnb messaging (don't email her since she does not check it often). The room has a nice closet, towels and she even left new slippers for guests. The room is very dark at night and in the morning since the window faces another building. 

I do wish we would have realized ahead of time that the bed was a modified futon. The pad was thicker than your normal futon, but the back support was not all that great. My parents were actually supposed to stay here while visiting Boston and after one night we had to switch because my dad had back problems. "
71,"I stayed at Phyllis's house for two nights, she is very nice and hospitable. She picked me up at the airport at night and helped me settle down. The house is very artistic and elegant, and though the room is tiny, it is well-equipped and comfortable. Definitely perfect for one!"
72,The reservation was canceled 2 days before arrival. This is an automated posting.
73,"The Charlestown location was beautiful and our apartment was conveniently located within walking distance to the Hop-On Hop-Off tour bus at USS Constitution, the local shops (where there was a fabulous food store called Whole Foods), and even within walking distance to Downtown Boston City. 

We enjoyed the convenience of being able to do our laundry and to have meals at home if we wished, but found the apartment a little stuffy and overheated. We felt that the apartment would benefit from some de-cluttering (to make the space appear bigger) as it looked in the photos. It would also be a good idea to check the status of the provided toiletries between each new booking, as we were left with an empty bottle of body wash.

More attention to detail in cleaning would have been appreciated - the toaster oven was full of crumbs, we found some medication under the bed and we some underwear caught up in our doona cover. The linen was of poor quality and didn't reflect the description in the listing. The shower was a bit problematic as we had to climb over the spa bath wall to get into it, not an easy task for us shorties!

Despite these hiccup we enjoyed our stay and found Corey helpful, friendly and attentive."
74,"Location is perfect! Only steps to Boston Common, State House, subway and downtown. Room was clean and well kept. Tiffany, the host, was also very helpful with directions and local tips upon my arrival and during the stay. Great value!"
75,The reservation was canceled 95 days before arrival. This is an automated posting.
76,The host was very communicative. The accommodations were as described and comfortable. 
77,"Katerina's apartment was so great! Perfect location, walking distance to star market and public transportation. Will absolutely use this place again whenever I am in Boston! "
78,Listing description accurate.  Great neighborhood.  
79,"Balint was great and super trusting.  Though we never met face to face he was very accessible through texting if we did ever need anything.  This place was super close to the Orange Line Green St. station and that was huge to be able to get in and out of the city with relative ease.  Just park your car at the place and walk over to the ""T"", 5 minutes maybe, head into the city for a few hours and come back w/out having to touch your car keys.  The neighborhood was very nice, there was a beautiful cafe right near the T that we ate at and would highly recommend.  Very highly recommended place to stay and host to chat with.  "
80,"Great stay! I had been planning my trip for awhile and Sean was available for contact before and during my stay. Smooth, easy, and fun stay with a great host!"
81,"For the price you cannot beat this in the Boston area.  Reasonably close to Boston, 45 minutes on T or if you take a cab it's $20 and it still takes about 30 minutes depending on traffic.  

Just remember this is an AirBnB stay.  Everything is nice but it is not perfect.  It's better than the Fenway Park Howard Johnson's for quality but it is definitely not a 4 star hotel and the price is appropriately reflected.  

One issue that we'd like feedback from the host on.  There was no key to the individual rooms.  I had some items I would prefer to keep locked but there wasn't a key available.

Otherwise it was a nice stay for however short it was.  "
82,this place was perfect quit relaxing comfortable and clean 
83,"Marisa and Lin were both quick to respond and helpful. The condo was perfect for our needs - offering an excellent location, stylish, comfortable furnishings, and a responsive, prepared host. We were visiting as a family, with 2 adults and 2 kids. It was cozy since there are essentially 2 rooms, plus bath and tiny kitchen. But the purpose of our visit was not to stay indoors. The location at the top of Beacon Hill was what attracted us. We walked or took the T most days of our 6 day stay. We walked to the North End, walked to Newbury Street thru the Commons and even walked back from Bunker Hill in Charlestown across the bridge. We did rent a car for 2 days of our trip and were able to make do with about $4 in quarters to pay for a few hours of on street parking behind the State House between 8am-8pm. In the condo, everything is new and very clean. The bed was very comfortable, and the kids were okay with the couch pull-out bed. The kitchen is tiny but well-equipped and functional, especially if you're just using it to prepare snacks or reheat leftovers as we were. The bathroom is small, but like the rest of the condo, well-designed, well-appointed and efficient. Sheets, towels, blankets were all new and great quality. And, yes, the view from the roof deck is memorable and stunning. I would stay here again if I return to Boston."
84,Location is golden. We walked everywhere! Anthony was easy going and very nice. The place is as pictured. Seeing as it is a basement it can get quite damp but that did not bother us. It was a great place to rest in between all the wonderful things to see and do in Boston!
85,"Kelly was so amazing and so accommodating! We had lots of changes with our plans and she was really nice and made sure we could get in and check out when we needed to. The place is nice and the location is great for going to Fenway since it's only a few minutes walk. Thanks for being such a great host, Kelly!"
86,We had a very nice stay at the airbnb of Liza (and her family). The house is beautiful and has a great atmosphere. It was a pleasure to sleep there and the location is perfect for visiting Boston. The metro is near to the house and within minutes you're in the city centre. Liza and her family are very welcoming and helpful. We would definitly recommend a stay at this airbnb when you want to visit Boston!
87,"This cozy apartment was perfect for what we were looking for. It was super-clean and in a very convenient location. Charlotte even left us chocolate covered almonds and bottled water for our arrival, and a thoughtful list of instructions and area attractions. We had a fantastic time and Charlotte was a great host. "
88,"I felt so lucky that I had chosen Duane's place every day of the two weeks I stayed at his place. From before I came till after I had left Duane was the most helpful host I could ever imagine, making my stay in Boston so much easier and more fun. I also felt at home at his place right away, hanging in his lovely sofa everyday after a long day. Everyday would start with his friendly question if I was ready for coffee and home baked bread and I would sit and look out his window looking at the beatiful view out at Boston from his window enjoying my breakfast greatly. With Duane's interest in how I was doing and all his help we became friends and I will remember my stay at Duane's as a wonderful thing about Boston. Also don't worry about the transportation into downtown, I stayed at Duane's place for almost two weeks and went into downtown everyday and it was really no problem. One last thing.. I always felt secure in the neighborhood, it was a cozy area. I would choose Duane's place if I should ever come back to Boston and I would highly recommend Staying at Duane's to anybody going to Boston. The bottom line is that I would wish that a review like this could express how happy I was about staying at Duane's."
89,"Robin was a great and easy host. She helped me figure out the best ways to navigate Boston for some tightly scheduled meetings. And, she was flexible with my flight coming in after midnight.

It's just what I expected at this price point. It's like crashing with a friend on a comfy couch."
90,Robert was a great host during my short stay in Boston. His place was centrally located and convenient to everything. He was very kind and attentive. I would definitely consider staying at his place in the future.
91,"Jimi's apartment is very well situated (near parks, restaurants, public transportation, etc!). It's not too big and the building is not so recent, but for Boston's standards, this is a pretty decent place and we all fell comfortable. Very nice people in the building too. The reserved parking was a big plus for us. 

We didn't have the chance to meet Jimi, but he was a great host. He even left some fresh coffee beans and local beer for our use! His instructions were simple to follow and we enjoyed our stay at his place.

Thanks Jimi for hosting us!"
92,Stephen and Megan were extremely hospitable and we had a wonderful time staying in their lovely home. They even recommended a great breakfast place within walking distance as icing on top of the cake! We would highly recommend their listing to anyone staying in the Boston area that wants quick and easy access to downtown.
93,The reservation was canceled 24 days before arrival. This is an automated posting.
94,"The apartment is in PERFECT location and very comfortable and spacious for 3. 

BUT... the instructions to get there could have been clearer and the communication with the hostess better. The apartment is inside a place with some food places, and then you have to buzz to a tailor studio(3f), who opened us the door, but didn't know anything about Kimberly's place. We felt quite lost at that point. We decided to knock on another door before leaving, and the previous guests were still there, but no news about Kimberly, although we had told her in advance at what time we were arriving, and she had told us she would be there. Her friend told us later that her phone died that day, but still we have the feeling she or him could have tried to contact us by other ways to let us know in advance about it. "
95,"Fantastic location in the Back Bay, close to all that the area has to offer. The unit was clean and comfortable, and the bedrooms were on opposite sides of the unit which allowed more privacy. We had a great stay and would definitely book here again!!"
96,"Tia was amazing! Very attentive to your needs as a guest and overall a very nice person. Stayed there for 10 weeks and was overall a nice experience. It's in a college town so there will sometimes be noise on Thursday nights or weekends, but I was OK with my earplugs. The T stop is a few mins walk away and there is a Shaws (supermarket) close to the stop. Lots of places to eat close by too. Muffin the dog will bark at you the first times he sees you but afterwards [so long as you like animals] he'll gain your trust quickly. Lastly Tia is down to take you out sometimes, so it's all up to you and what you feel. I was very busy for most of my stay but went out a few times and left as friends. Would stay there again!  "
97,"We had a great stay in Lawrence's appartment! The location is perfect if you want to stay in the Beacon Hill area. It is super central yet it is not noisy. The flat itself is somewhat old and could maybe use an update, but it is clean and tidy.

It was VERY hot outside during our stay. The air conditioning kept the bedroom cold, but the living room/kitchen was quite warm. Lawrence is a nice and responsive host that quickly followed up on the questions we had. He was also very frank and allright about a water leakage issue with the air conditioning, which did not cause us any major issues for us.

Be aware that you will need to pay for Wifi usage ($12 for 1GB quota - cheaper gb/rates for larger quotas). Thanks for a great stay!"
98,"ken and  Jez made our first airbnb such a wonderful experience. We had a lovely room with an exceptionally comfy mattress  in their comfortable , clean  beautiful home. What set the experience apart was the warmness of Ken and Jez. We were repeatedly checked on , invited to share the living room and kitchen and to help ourselves to whatever we may want. A space was set up specifically for us with dishes, cereal, snacks and the like. We were dropped off at the t station and offered a little side trip on the way of a beautiful vantage point for viewing the city. Ken and Jez offered suggestions for Boston in a day tours and checked in later to get feedback on how our experience was.  Cookies placed in our room for a late night sweet was icing on the top of an exceptional experience.  Can you rate over 5 stars? They deserve more! Convince to both airport and public transport was a++"
99,"I was so lucky to find Becky's designers haven for my 3 days stay in Boston! not only the apartment is a rare gem, wisely renovated and crafted to be welcoming and warm, the roofdeck and backyard simply worthy a visit, subway at a 5 mins walking distance, but the people who live there are really special. Len was a great host, it happened that I got my luggage lost at the airport..and he provided me with whatever I needed, from his coat to his backpack bag! Becky,who was abroad during my visit,texted me a couple of times to know if everything was alright with me and the apt. They simply took care of me! Not to mention that she got me a special price cause one of her friends (a phenomenal chocolatier from NY) was visiting too for the weekend! Needless to say I look forward to coming back soon! "
100,Steffen is an excellent host.  He was very accomodating and pleasant and made me feel at home.  Unfortunately I didn't have enough time to talk with Steffen more or explore Allston but it is a lovely apartment in a great neighborhood.  
101,"My girlfriend and I stayed in this room for a night after flying into Boston, before travelling on. Like many other visitors, we didn't meet Izzy but he responded very quickly by text when we had a question on the day, and it was nice to meet the other guests staying in the house. The room was cosy and warm despite the snow outside, and the kitchen and bathroom were clean. There is a  code access system on the front door which was very handy, and we were able to leave our luggage in the living room after we had checked out while we visited the Boston centre. Overall, really good value room."
